"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","0","practice.study.study0824.testcase","test_div","Testdiv","","","testcasediv[10-0.02-500]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","0","practice.study.study0824.testcase","test_div","Testdiv","","","testcasediv[-0.01-0.02--0.5]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd2[【边界】无效边界值相加，给出提示信息2]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入空格，给出提示信息1]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入中文，给出提示信息2]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd1[【边界】有效边界值相加，结果计算正确1]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd1[【正向】整数与浮点数相加，结果计算正确]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入特殊字符，给出提示信息1]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入英文，给出提示信息2]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入中文，给出提示信息1]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","0","practice.study.study0824.testcase","test_div","Testdiv","","","testcasediv[1-1-1]",""
"passed","Fri Aug 26 15:09:21 CST 2022","Fri Aug 26 15:09:21 CST 2022","1","practice.study.study0824.testcase","test_add","Testadd","","","testcaseadd3[【类型】输入特殊字符，给出提示信息2]",""
